Order ID,Customer Name,Category,Sub Category,City,Region,Sales,Discount,Profit,State,Order Year,Order month,Order day
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,East,1845.0,0.24,166.05,Tamil Nadu,2016,9,17
OD32,Mathew,Snacks,Noodles,Vellore,East,1400.0,0.11,420.0,Tamil Nadu,2016,9,17
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,East,2163.0,0.26,670.53,Tamil Nadu,2016,9,17
OD34,Anu,Oil & Masala,Masalas,Madurai,East,1689.0,0.34,337.8,Tamil Nadu,2016,9,17
OD35,Anu,Beverages,Health Drinks,Vellore,Central,809.0,0.32,80.9,Tamil Nadu,2018,10,19
OD37,James,Beverages,Soft Drinks,Salem,Central,934.0,0.35,56.04,Tamil Nadu,2017,12,8
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,Central,1354.0,0.16,446.82,Tamil Nadu,2016,12,27
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,Central,1751.0,0.19,280.16,Tamil Nadu,2016,12,27
OD41,Malik,Beverages,Health Drinks,Namakkal,Central,660.0,0.19,92.4,Tamil Nadu,2016,12,27
OD42,Arutra,Beverages,Soft Drinks,Salem,Central,1868.0,0.18,616.44,Tamil Nadu,2018,9,10
OD43,Sharon,Snacks,Cookies,Bodi,West,1017.0,0.25,345.78,Tamil Nadu,2017,7,17
OD44,Mathew,Snacks,Cookies,Dharmapuri,South,2311.0,0.2,1039.95,Tamil Nadu,2018,9,19
OD45,Amrish,Bakery,Biscuits,Krishnagiri,Central,1663.0,0.17,731.72,Tamil Nadu,2017,3,11
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,Central,1415.0,0.31,509.4,Tamil Nadu,2015,10,20
OD48,Mathew,Snacks,Noodles,Chennai,East,1488.0,0.3,610.08,Tamil Nadu,2017,6,20
OD49,Ridhesh,Snacks,Noodles,Pudukottai,East,726.0,0.18,43.56,Tamil Nadu,2017,6,20
OD50,Amrish,Bakery,Cakes,Ooty,Central,1259.0,0.15,415.47,Tamil Nadu,2016,4,18
OD51,Esther,Beverages,Soft Drinks,Salem,Central,902.0,0.29,153.34,Tamil Nadu,2016,4,18
OD52,Shah,Beverages,Soft Drinks,Salem,Central,2306.0,0.3,553.44,Tamil Nadu,2016,4,18
OD53,Sudha,Bakery,Cakes,Theni,Central,1417.0,0.19,99.19,Tamil Nadu,2016,4,18
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,East,627.0,0.33,181.83,Tamil Nadu,2017,12,11
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,East,760.0,0.28,60.8,Tamil Nadu,2017,12,11
OD56,Muneer,Food Grains,Atta & Flour,Salem,East,2350.0,0.15,611.0,Tamil Nadu,2017,6,17
OD58,Veena,Food Grains,Dals & Pulses,Trichy,East,1624.0,0.35,194.88,Tamil Nadu,2017,6,17
OD60,Shree,Beverages,Health Drinks,Coimbatore,East,2121.0,0.12,678.72,Tamil Nadu,2017,6,17
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,East,1428.0,0.28,271.32,Tamil Nadu,2017,6,17
OD62,Willams,Snacks,Noodles,Perambalur,East,706.0,0.33,289.46,Tamil Nadu,2017,6,17
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,West,1741.0,0.31,661.58,Tamil Nadu,2016,11,24
OD67,Vinne,Food Grains,Atta & Flour,Madurai,Central,1368.0,0.11,383.04,Tamil Nadu,2016,4,30
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,West,1160.0,0.16,510.4,Tamil Nadu,2015,12,5
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,West,1294.0,0.23,77.64,Tamil Nadu,2015,12,5
OD70,Peer,Oil & Masala,Masalas,Ooty,South,1232.0,0.14,554.4,Tamil Nadu,2017,6,4
OD72,Yusuf,Snacks,Noodles,Kanyakumari,Central,2468.0,0.18,1011.88,Tamil Nadu,2018,9,14
OD73,Alan,Snacks,Cookies,Theni,South,721.0,0.27,100.94,Tamil Nadu,2016,4,26
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,South,2375.0,0.21,475.0,Tamil Nadu,2016,4,26
OD75,Arvind,Beverages,Soft Drinks,Vellore,South,1965.0,0.13,117.9,Tamil Nadu,2016,4,26
OD76,Veronica,Beverages,Soft Drinks,Bodi,Central,1489.0,0.12,193.57,Tamil Nadu,2018,12,9
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,Central,1250.0,0.27,75.0,Tamil Nadu,2018,12,9
OD78,Anu,Snacks,Noodles,Coimbatore,Central,1358.0,0.31,488.88,Tamil Nadu,2018,12,9
OD79,Haseena,Snacks,Cookies,Vellore,Central,719.0,0.2,64.71,Tamil Nadu,2015,11,26
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,South,2303.0,0.26,621.81,Tamil Nadu,2017,6,12
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,South,2027.0,0.34,912.15,Tamil Nadu,2017,6,12
OD82,Amy,Food Grains,Atta & Flour,Bodi,West,1739.0,0.29,765.16,Tamil Nadu,2015,10,12
OD83,Komal,Oil & Masala,Spices,Cumbum,West,990.0,0.26,227.7,Tamil Nadu,2015,10,12
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,South,2354.0,0.11,682.66,Tamil Nadu,2016,9,3
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,Central,1044.0,0.1,344.52,Tamil Nadu,2018,11,13
OD86,Willams,Oil & Masala,Spices,Dindigul,South,2129.0,0.25,659.99,Tamil Nadu,2018,5,28
OD87,Sharon,Food Grains,Rice,Theni,Central,1759.0,0.1,615.65,Tamil Nadu,2018,10,26
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,Central,2111.0,0.21,189.99,Tamil Nadu,2017,4,5
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,West,1878.0,0.12,450.72,Tamil Nadu,2017,9,17
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,West,1241.0,0.14,409.53,Tamil Nadu,2017,9,17
OD93,Ravi,Food Grains,Atta & Flour,Madurai,Central,2128.0,0.14,383.04,Tamil Nadu,2016,1,31
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,Central,2257.0,0.33,270.84,Tamil Nadu,2016,1,31
OD95,Mathew,Snacks,Chocolates,Bodi,Central,1285.0,0.28,218.45,Tamil Nadu,2016,1,31
OD97,Sudha,Food Grains,Atta & Flour,Ooty,East,1856.0,0.21,723.84,Tamil Nadu,2018,11,9
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,West,545.0,0.31,125.35,Tamil Nadu,2018,6,17
OD99,Vince,Snacks,Chocolates,Dharmapuri,Central,2301.0,0.28,391.17,Tamil Nadu,2017,9,6
OD100,Krithika,Oil & Masala,Spices,Chennai,Central,1475.0,0.26,531.0,Tamil Nadu,2017,8,29
OD101,Adavan,Bakery,Cakes,Coimbatore,Central,2118.0,0.35,910.74,Tamil Nadu,2017,8,29
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,Central,1527.0,0.17,671.88,Tamil Nadu,2017,8,29
OD103,Vinne,Snacks,Chocolates,Nagercoil,Central,567.0,0.18,175.77,Tamil Nadu,2017,12,1
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,West,969.0,0.27,184.11,Tamil Nadu,2016,11,13
OD105,Suresh,Food Grains,Dals & Pulses,Karur,West,2300.0,0.14,1035.0,Tamil Nadu,2016,11,13
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,West,1575.0,0.33,78.75,Tamil Nadu,2016,11,13
OD107,Sundar,Beverages,Health Drinks,Cumbum,South,540.0,0.12,108.0,Tamil Nadu,2018,11,23
OD108,Willams,Snacks,Cookies,Tirunelveli,South,536.0,0.34,176.88,Tamil Nadu,2018,11,23
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,Central,1179.0,0.16,271.17,Tamil Nadu,2016,10,15
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,East,1487.0,0.12,505.58,Tamil Nadu,2018,12,25
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,Central,2220.0,0.1,111.0,Tamil Nadu,2017,11,3
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,Central,2155.0,0.3,581.85,Tamil Nadu,2017,11,3
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,East,1154.0,0.1,69.24,Tamil Nadu,2015,8,25
OD115,Muneer,Snacks,Noodles,Salem,East,2420.0,0.11,242.0,Tamil Nadu,2015,8,25
OD116,Rumaiza,Snacks,Chocolates,Karur,East,1305.0,0.24,287.1,Tamil Nadu,2015,8,25
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,East,927.0,0.2,157.59,Tamil Nadu,2015,8,25
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,West,983.0,0.11,186.77,Tamil Nadu,2016,3,2
OD119,Akash,Food Grains,Rice,Chennai,South,903.0,0.1,90.3,Tamil Nadu,2016,4,5
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,East,1243.0,0.24,174.02,Tamil Nadu,2017,6,12
OD122,Harish,Bakery,Cakes,Krishnagiri,East,649.0,0.34,201.19,Tamil Nadu,2017,6,12
OD124,Anu,Beverages,Soft Drinks,Cumbum,East,1443.0,0.27,187.59,Tamil Nadu,2017,6,12
OD125,Sudeep,Bakery,Breads & Buns,Madurai,Central,975.0,0.26,390.0,Tamil Nadu,2015,12,26
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,Central,889.0,0.19,71.12,Tamil Nadu,2015,9,20
OD128,Harish,Oil & Masala,Spices,Tirunelveli,West,1293.0,0.23,336.18,Tamil Nadu,2018,11,5
OD129,Sharon,Food Grains,Rice,Bodi,West,1458.0,0.29,597.78,Tamil Nadu,2017,11,6
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,West,1801.0,0.22,126.07,Tamil Nadu,2017,11,6
OD131,Haseena,Snacks,Chocolates,Tenkasi,East,1261.0,0.29,416.13,Tamil Nadu,2018,2,2
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,East,2112.0,0.28,105.6,Tamil Nadu,2018,2,2
OD134,Shah,Bakery,Cakes,Tenkasi,West,1658.0,0.12,315.02,Tamil Nadu,2017,10,13
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,West,2373.0,0.18,664.44,Tamil Nadu,2017,10,13
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,West,1430.0,0.19,514.8,Tamil Nadu,2017,10,13
OD137,Sundar,Oil & Masala,Spices,Viluppuram,West,1873.0,0.3,674.28,Tamil Nadu,2017,10,13
OD139,Malik,Snacks,Noodles,Theni,West,1101.0,0.19,484.44,Tamil Nadu,2017,10,13
OD141,Veena,Bakery,Biscuits,Perambalur,East,866.0,0.32,381.04,Tamil Nadu,2017,9,5
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,West,2483.0,0.14,223.47,Tamil Nadu,2018,9,18
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,West,1335.0,0.11,293.7,Tamil Nadu,2018,9,18
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,West,1551.0,0.13,573.87,Tamil Nadu,2016,9,7
OD147,Ridhesh,Food Grains,Organic Staples,Theni,East,1564.0,0.27,187.68,Tamil Nadu,2015,10,22
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,Central,1125.0,0.33,292.5,Tamil Nadu,2017,12,5
OD149,Veronica,Beverages,Health Drinks,Tenkasi,Central,768.0,0.1,184.32,Tamil Nadu,2017,12,5
OD151,Muneer,Food Grains,Rice,Bodi,Central,2287.0,0.13,1029.15,Tamil Nadu,2017,12,5
OD152,Jackson,Snacks,Chocolates,Pudukottai,West,1016.0,0.34,335.28,Tamil Nadu,2017,3,13
OD153,Amy,Snacks,Cookies,Namakkal,West,852.0,0.26,76.68,Tamil Nadu,2017,3,13
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,West,1233.0,0.28,234.27,Tamil Nadu,2016,5,31
OD155,Jonas,Snacks,Noodles,Pudukottai,West,2236.0,0.14,626.08,Tamil Nadu,2016,5,31
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,West,2188.0,0.32,809.56,Tamil Nadu,2016,5,31
OD157,Peer,Snacks,Cookies,Coimbatore,West,1114.0,0.2,456.74,Tamil Nadu,2016,5,28
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,West,1774.0,0.15,620.9,Tamil Nadu,2015,3,1
OD159,Amy,Beverages,Soft Drinks,Karur,Central,2364.0,0.21,1040.16,Tamil Nadu,2017,11,20
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,Central,1487.0,0.11,148.7,Tamil Nadu,2017,11,20
OD161,Yadav,Beverages,Soft Drinks,Ooty,West,713.0,0.3,192.51,Tamil Nadu,2017,5,11
OD163,Amrish,Snacks,Chocolates,Trichy,West,1004.0,0.26,341.36,Tamil Nadu,2017,11,16
OD164,Hussain,Snacks,Cookies,Theni,West,1516.0,0.32,121.28,Tamil Nadu,2017,11,7
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,Central,1442.0,0.28,605.64,Tamil Nadu,2015,9,8
OD166,Sudha,Beverages,Health Drinks,Madurai,Central,1690.0,0.33,422.5,Tamil Nadu,2015,9,8
OD167,Adavan,Snacks,Chocolates,Bodi,Central,2021.0,0.13,343.57,Tamil Nadu,2015,9,8
OD169,Krithika,Oil & Masala,Spices,Viluppuram,Central,705.0,0.15,176.25,Tamil Nadu,2015,9,8
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,Central,552.0,0.25,237.36,Tamil Nadu,2015,9,8
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,West,1412.0,0.11,564.8,Tamil Nadu,2015,8,5
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,West,791.0,0.32,150.29,Tamil Nadu,2015,8,5
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,West,2476.0,0.33,420.92,Tamil Nadu,2015,8,5
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,Central,1747.0,0.27,471.69,Tamil Nadu,2015,9,14
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,Central,1973.0,0.15,848.39,Tamil Nadu,2015,9,14
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,Central,2025.0,0.24,546.75,Tamil Nadu,2018,4,21
OD178,Rumaiza,Snacks,Noodles,Vellore,East,1016.0,0.29,223.52,Tamil Nadu,2016,11,21
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,East,689.0,0.3,55.12,Tamil Nadu,2016,11,21
OD180,Krithika,Food Grains,Atta & Flour,Karur,East,1322.0,0.16,343.72,Tamil Nadu,2016,12,15
OD181,Arvind,Snacks,Cookies,Bodi,Central,1605.0,0.25,433.35,Tamil Nadu,2015,12,5
OD182,Ravi,Beverages,Health Drinks,Namakkal,Central,1718.0,0.2,171.8,Tamil Nadu,2015,12,5
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,South,2177.0,0.35,783.72,Tamil Nadu,2015,11,19
OD184,Surya,Food Grains,Organic Staples,Cumbum,South,578.0,0.19,236.98,Tamil Nadu,2015,11,19
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,South,782.0,0.28,195.5,Tamil Nadu,2015,11,19
OD186,Shah,Snacks,Noodles,Chennai,East,1388.0,0.35,97.16,Tamil Nadu,2017,11,28
OD187,Krithika,Bakery,Cakes,Cumbum,West,2264.0,0.21,792.4,Tamil Nadu,2015,8,26
OD188,Anu,Beverages,Soft Drinks,Pudukottai,Central,813.0,0.16,138.21,Tamil Nadu,2017,7,16
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,Central,2015.0,0.24,564.2,Tamil Nadu,2017,7,16
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,East,1433.0,0.3,472.89,Tamil Nadu,2016,10,12
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,East,2093.0,0.11,334.88,Tamil Nadu,2016,10,12
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,East,2149.0,0.17,623.21,Tamil Nadu,2016,10,12
OD193,Anu,Beverages,Health Drinks,Dharmapuri,East,1972.0,0.32,414.12,Tamil Nadu,2016,10,12
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,East,2060.0,0.25,432.6,Tamil Nadu,2016,10,12
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,East,1006.0,0.25,191.14,Tamil Nadu,2015,3,21
OD197,Sudeep,Bakery,Breads & Buns,Karur,East,1409.0,0.16,380.43,Tamil Nadu,2015,3,21
OD198,Verma,Food Grains,Organic Staples,Pudukottai,East,914.0,0.34,338.18,Tamil Nadu,2018,11,6
OD201,James,Food Grains,Organic Staples,Tirunelveli,East,1738.0,0.22,243.32,Tamil Nadu,2018,6,24
OD202,Vidya,Bakery,Cakes,Salem,West,2421.0,0.25,484.2,Tamil Nadu,2015,8,3
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,West,2245.0,0.24,404.1,Tamil Nadu,2015,8,3
OD204,Akash,Oil & Masala,Masalas,Vellore,Central,896.0,0.12,295.68,Tamil Nadu,2018,12,17
OD205,Ram,Oil & Masala,Spices,Virudhunagar,South,1033.0,0.3,185.94,Tamil Nadu,2018,6,3
OD210,Amrish,Beverages,Soft Drinks,Vellore,Central,1942.0,0.29,504.92,Tamil Nadu,2018,12,1
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,Central,609.0,0.3,207.06,Tamil Nadu,2018,12,1
OD213,Peer,Beverages,Soft Drinks,Salem,East,1591.0,0.15,270.47,Tamil Nadu,2016,1,2
OD214,Arutra,Food Grains,Rice,Krishnagiri,East,1353.0,0.11,527.67,Tamil Nadu,2016,1,2
OD215,Jonas,Beverages,Health Drinks,Namakkal,East,1020.0,0.21,81.6,Tamil Nadu,2016,1,2
OD216,Harish,Snacks,Noodles,Ramanadhapuram,East,1362.0,0.31,177.06,Tamil Nadu,2016,1,2
OD217,Sundar,Food Grains,Rice,Krishnagiri,East,1733.0,0.31,433.25,Tamil Nadu,2016,1,2
OD218,Suresh,Oil & Masala,Masalas,Tirunelveli,West,1949.0,0.17,97.45,Tamil Nadu,2017,10,28
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Virudhunagar,West,2368.0,0.34,876.16,Tamil Nadu,2017,10,28
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Pudukottai,East,2110.0,0.25,485.3,Tamil Nadu,2016,12,24
OD221,Ramesh,Food Grains,Dals & Pulses,Madurai,East,1940.0,0.2,795.4,Tamil Nadu,2016,12,24
OD224,Yadav,Beverages,Soft Drinks,Perambalur,East,2024.0,0.11,910.8,Tamil Nadu,2016,12,24
OD227,Komal,Food Grains,Organic Staples,Madurai,Central,1230.0,0.17,295.2,Tamil Nadu,2016,8,9
OD228,Harish,Snacks,Cookies,Salem,Central,560.0,0.34,240.8,Tamil Nadu,2016,8,9
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Tenkasi,South,1286.0,0.22,282.92,Tamil Nadu,2016,2,28
OD230,Ramesh,Beverages,Health Drinks,Tenkasi,South,1242.0,0.34,149.04,Tamil Nadu,2016,2,28
OD231,Arvind,Bakery,Breads & Buns,Krishnagiri,South,717.0,0.21,43.02,Tamil Nadu,2015,9,13
OD232,Komal,Beverages,Soft Drinks,Namakkal,South,1480.0,0.22,444.0,Tamil Nadu,2018,4,7
OD233,Komal,Food Grains,Dals & Pulses,Salem,South,826.0,0.18,247.8,Tamil Nadu,2018,4,7
OD234,Ramesh,Snacks,Cookies,Ooty,South,1846.0,0.22,276.9,Tamil Nadu,2018,4,7
OD235,Mathew,Beverages,Soft Drinks,Viluppuram,South,2045.0,0.12,552.15,Tamil Nadu,2018,4,7
OD236,Vince,Fruits & Veggies,Organic Fruits,Nagercoil,South,1983.0,0.17,773.37,Tamil Nadu,2018,4,7
OD237,Shah,Bakery,Cakes,Bodi,West,650.0,0.16,247.0,Tamil Nadu,2018,11,12
OD238,Ravi,Bakery,Breads & Buns,Ramanadhapuram,Central,2163.0,0.31,216.3,Tamil Nadu,2017,6,4
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Bodi,Central,1481.0,0.15,518.35,Tamil Nadu,2017,6,4
OD240,Arvind,Snacks,Cookies,Trichy,Central,2492.0,0.14,124.6,Tamil Nadu,2017,6,4
OD241,Ramesh,Bakery,Cakes,Nagercoil,Central,962.0,0.33,423.28,Tamil Nadu,2017,6,4
OD242,Malik,Beverages,Health Drinks,Coimbatore,Central,1432.0,0.3,214.8,Tamil Nadu,2017,6,4
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,Virudhunagar,Central,523.0,0.12,78.45,Tamil Nadu,2017,6,4
OD244,Amy,Oil & Masala,Masalas,Chennai,Central,1540.0,0.11,646.8,Tamil Nadu,2017,6,4
OD245,Roshan,Bakery,Biscuits,Coimbatore,Central,817.0,0.15,326.8,Tamil Nadu,2015,6,1
OD247,Sudeep,Fruits & Veggies,Organic Fruits,Perambalur,Central,962.0,0.21,288.6,Tamil Nadu,2015,6,1
OD248,Ridhesh,Beverages,Health Drinks,Cumbum,Central,538.0,0.19,59.18,Tamil Nadu,2015,6,1
OD249,Ravi,Snacks,Cookies,Ooty,Central,1556.0,0.17,482.36,Tamil Nadu,2015,6,1
OD250,James,Beverages,Health Drinks,Vellore,West,2133.0,0.26,959.85,Tamil Nadu,2017,12,10
OD251,Mathew,Beverages,Health Drinks,Tirunelveli,West,1474.0,0.14,235.84,Tamil Nadu,2017,9,11
OD252,Amrish,Beverages,Health Drinks,Dindigul,West,531.0,0.14,127.44,Tamil Nadu,2017,9,11
OD253,Ramesh,Food Grains,Rice,Pudukottai,East,1769.0,0.19,636.84,Tamil Nadu,2017,12,10
OD254,Surya,Fruits & Veggies,Organic Vegetables,Pudukottai,East,1257.0,0.34,62.85,Tamil Nadu,2017,12,10
OD255,Veronica,Food Grains,Rice,Ramanadhapuram,Central,1899.0,0.27,170.91,Tamil Nadu,2016,11,28
OD256,Harish,Fruits & Veggies,Fresh Fruits,Tirunelveli,Central,1929.0,0.3,617.28,Tamil Nadu,2016,11,28
OD257,Ravi,Beverages,Soft Drinks,Ooty,Central,2417.0,0.1,990.97,Tamil Nadu,2016,11,28
OD259,Esther,Beverages,Soft Drinks,Dharmapuri,East,660.0,0.29,290.4,Tamil Nadu,2018,12,1
OD260,Shree,Bakery,Breads & Buns,Salem,East,2114.0,0.32,359.38,Tamil Nadu,2018,12,1
OD261,Sabeela,Oil & Masala,Masalas,Tenkasi,East,1278.0,0.14,63.9,Tamil Nadu,2018,12,1
OD262,Ravi,Food Grains,Organic Staples,Krishnagiri,Central,867.0,0.18,216.75,Tamil Nadu,2018,6,8
OD263,Roshan,Food Grains,Organic Staples,Kanyakumari,Central,943.0,0.33,150.88,Tamil Nadu,2015,9,19
OD264,Vince,Beverages,Soft Drinks,Theni,Central,1836.0,0.17,275.4,Tamil Nadu,2015,9,19
OD266,Harish,Fruits & Veggies,Organic Vegetables,Tirunelveli,West,1167.0,0.18,256.74,Tamil Nadu,2016,11,10
OD268,Arvind,Oil & Masala,Masalas,Virudhunagar,East,2500.0,0.33,425.0,Tamil Nadu,2017,1,22
OD269,Adavan,Bakery,Cakes,Dharmapuri,East,1507.0,0.16,180.84,Tamil Nadu,2018,12,9
OD270,Suresh,Beverages,Soft Drinks,Namakkal,East,1612.0,0.11,612.56,Tamil Nadu,2018,12,9
OD271,Esther,Snacks,Noodles,Theni,West,764.0,0.11,160.44,Tamil Nadu,2018,12,28
OD272,Krithika,Snacks,Noodles,Tenkasi,West,884.0,0.31,282.88,Tamil Nadu,2016,7,30
OD273,Muneer,Fruits & Veggies,Organic Fruits,Viluppuram,West,2443.0,0.23,781.76,Tamil Nadu,2016,7,30
OD274,Hafiz,Bakery,Cakes,Vellore,West,1147.0,0.27,137.64,Tamil Nadu,2016,7,30
OD275,Krithika,Fruits & Veggies,Organic Vegetables,Coimbatore,West,1899.0,0.21,493.74,Tamil Nadu,2018,9,16
OD276,Amrish,Bakery,Cakes,Pudukottai,West,744.0,0.11,66.96,Tamil Nadu,2018,9,16
OD278,Ram,Oil & Masala,Masalas,Virudhunagar,East,862.0,0.2,137.92,Tamil Nadu,2018,10,13
